Age,Income,Gender,Marital_Status,Tenure_Months,Recency,Frequency,Monetary,Response
56,27871.07,Male,Single,47,13,8,3071.75,0
69,64069.27,Female,Married,68,74,9,1543.83,1
46,44872.99,Female,Widowed,92,31,12,3729.41,0
32,31554.93,Male,Widowed,76,10,9,2110.85,0
60,47068.54,Male,Divorced,38,60,10,3551.22,0
25,38369.04,Female,Divorced,115,17,2,1971.9,0
38,93742.83,Female,Divorced,36,26,16,2629.54,1
56,77632.8,Female,Single,111,54,7,2226.34,0
36,59840.55,Female,Widowed,41,53,2,1899.61,0
40,89598.88,Female,Married,69,81,1,3312.2,0
28,61547.37,Male,Divorced,13,86,19,2911.82,0
28,42774.32,Female,Married,87,74,4,2048.85,0
41,90462.48,Male,Married,58,20,2,2138.51,0
53,70778.2,Female,Divorced,50,43,14,2216.33,1
57,39255.08,Male,Widowed,30,4,2,2898.56,0
41,56193.23,Female,Divorced,62,86,15,2014.46,0
20,42487.63,Female,Married,101,40,12,2293.0,0
39,32344.01,Male,Divorced,25,58,5,2718.33,0
19,78523.55,Male,Married,112,88,7,2371.18,0
41,98188.33,Female,Married,27,53,10,2774.61,1
61,32028.65,Female,Divorced,51,73,14,3466.58,0
47,71259.38,Female,Single,78,21,14,3201.9,1
55,46987.15,Female,Divorced,57,82,5,2318.74,0
19,50257.49,Female,Single,112,64,18,3944.67,1
38,48152.12,Male,Married,47,63,14,2385.83,0
50,42720.18,Male,Married,118,70,2,2049.85,1
29,60970.43,Female,Single,100,3,12,2584.78,0
39,43381.0,Male,Married,39,64,6,2248.79,0
61,65409.14,Male,Single,16,14,4,1665.39,0
42,58995.24,Male,Single,120,75,13,1858.18,0
66,55221.04,Female,Married,22,21,4,2408.6,0
44,41848.73,Male,Widowed,85,85,14,2383.26,1
59,48464.57,Female,Single,54,46,16,3753.9,0
45,75107.82,Male,Divorced,21,80,4,2163.73,0
33,70018.34,Female,Divorced,72,92,1,1924.26,0
32,40448.9,Male,Married,113,45,13,3197.17,1
64,61986.65,Female,Widowed,16,13,4,2401.1,1
68,75027.74,Female,Married,59,49,18,2812.24,1
61,26611.89,Male,Widowed,119,19,6,1979.63,0
69,70867.2,Female,Single,31,49,3,3978.85,0
20,46747.52,Female,Single,42,32,13,2830.89,1
54,71411.97,Female,Single,74,58,16,3342.21,0
68,44734.82,Female,Single,32,42,5,1738.53,0
